Carimbo de data/hora,"Considerando o que foi apresentado, você concorda em participar de forma voluntária desta pesquisa?",Você se formou em algum curso PRESENCIAL relacionado a computação?,1. Qual seu sexo?,2. Idade atual,3. Você se auto declara como...,4. Em área(s) você atua hoje?,5. A instituição de ensino superior em que você estudou era...,6. Você concluiu um curso superior presencial de qual tipo?,7. Informe seu curso:,8. Em que turno aconteciam as aulas?,9. Quanto tempo você levou para concluir seu curso (aproximadamente)?,"10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Infraestrutura do seu curso (laboratórios, salas de aula, etc).]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Professores do seu curso]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Conteúdos das disciplinas ofertadas]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Amizades e Networking (oportunidade de fazer novos contatos)]","10. Em uma escala de 1 (Péssimo) a 5 (Excelente), como você avalia sua satisfação sobre os seguintes aspectos considerando sua experiência no tempo em que era estudante de graduação? [Trabalhos, atividades e projetos realizados]",11. Qual/Quais dos seguintes auxílios financeiros ou remunerações você recebeu durante a graduação?,12. Selecione as atividades extracurriculares das quais você participou durante sua graduação,13. Quanto tempo você levava para ir de onde você morava até a universidade/faculdade (em média)?,"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [A estrutura do curso (laboratórios, salas de aula, disciplinas).]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Morar próximo da universidade.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bom relacionamento com os colegas do curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons mentores, orientadores ou monitores.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bons professores.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Trabalhos em grupo.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Meu desempenho no curso.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Participação em projetos de pesquisa, desenvolvimento, ensino, extensão ou estágios.]",14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Bolsas ou auxílios.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Desejo de possuir um diploma universitário.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Influência/Inspiração de profissionais da área.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidades de morar no exterior.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Mercado de trabalho promissor.],14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Possibilidade de trabalho remoto.],"14. Classifique a importância dos seguintes fatores para que você concluísse seu curso? [Apoio de familiares, colegas, professores, amigos, comunidades da área de TI, etc.]","15. Algum outro fator lhe influenciou a concluir seu curso? Se sim, qual ou quais?",16. Que ações você acha que poderiam ser realizadas em cursos superiores de computação para estimular mais alunos a concluírem seus cursos?,17. Em qual estado se localiza a faculdade/universidade/instituto onde você se graduou?,18. Em qual cidade se localiza a faculdade/universidade/instituto onde você se graduou?
09/09/2022 16:36:02,Concordo,Sim,Masculino,22,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos e meio,1 - Péssimo,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Extensão, Estágio",Menos de 30 minutos,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Importante,Muito importante,Muito importante,Muito importante,,Oficinas e treinamentos de linguagens e tecnologias,Paraíba,Rio Tinto
09/09/2022 16:37:31,Concordo,Sim,Masculino,30,Branco(a),"Professor(a) de Ensino Superior, Aluno(a) de pós-graduação (mestrado/doutorado/especialização)",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,5 - Excelente,4 - Bom,3 - Mediano(a),3 - Mediano(a),"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Estágio, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Pouco importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Importante,Importante,Sem importância,Importante,Importante,Pouco importante,Participação no PIBID,"Atividades extracurriculares como empresa jr, parcerias com empresas para estágios, projetos de pesquisa (científica e docente), criação de cursos para serem ministrados pelos alunos ( para o curso de lic, é de bastante importância vivenciar a sala de aula durante a graduação),etc.",Paraíba,Rio Tinto
09/09/2022 16:47:14,Concordo,Sim,Masculino,20,Pardo(a),Não atuo mais na área de TI,Instituto Federal/Centro Federal de Educação Tecnológica,Tecnológo,Tecnologia da Informação,"Manhã, Tarde",3 anos,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Extensão, Estágio",De 30 minutos a 1h,Muito importante,Importante,Muito importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,,,Paraíba,Patos
09/09/2022 18:36:11,Concordo,Sim,Masculino,42,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Professor(a) de Ensino Superior",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde, Noite",4 anos,3 - Mediano(a),5 - Excelente,4 - Bom,4 - Bom,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Estágio, Monitoria, PET",Menos de 30 minutos,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Importante,Importante,Pouco importante,Muito importante,Pouco importante,Muito importante,,"Ter estrutura de empresas dentro da instituição, permitindo pesquisa e desenvolvimento na comunidade. ",Paraíba,Campina Grande
09/09/2022 18:44:18,Concordo,Sim,Feminino,26,Pardo(a),"Professor(a) da Educação Básica, Empresário(a), Aluno(a) de pós-graduação (mestrado/doutorado/especialização)",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",4 anos e meio,3 - Mediano(a),5 - Excelente,3 - Mediano(a),3 - Mediano(a),5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Projeto de Extensão, Residência Pedagógica/PIBID/Prolicen",De 30 minutos a 1h,Pouco importante,Sem importância,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Muito importante,Lecionar,"Mais experiência prática tanto em empresa, quanto em sala de aula ",Paraíba,Rio Tinto
09/09/2022 19:29:19,Concordo,Sim,Feminino,39,Branco(a),"Professor(a) de Ensino Superior, Professor(a) da Educação Básica",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos,2 - Ruim,5 - Excelente,4 - Bom,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",Menos de 30 minutos,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Sem importância,Importante,Importante,Sem importância,Importante,Sem importância,Importante,,,Paraíba,Campina Grande
09/09/2022 21:11:09,Concordo,Sim,Masculino,42,Branco(a),Não atuo mais na área de TI,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos,4 - Bom,4 - Bom,4 - Bom,3 - Mediano(a),3 - Mediano(a),"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência",PET,Menos de 30 minutos,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Importante,Pouco importante,Muito importante,Importante,Pouco importante,Muito importante,Importante,Importante,,,Paraíba,Campina Grande
09/09/2022 22:00:58,Concordo,Sim,Masculino,40,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde, Noite",4 anos,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Estágio",Menos de 30 minutos,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Muito importante,Importante,Importante,Sem importância,Muito importante,,,Paraíba,Campina Grande
09/09/2022 22:08:13,Concordo,Sim,Masculino,41,Pardo(a),Professor(a) de Ensino Superior,Universidade/Faculdade Privada,Bacharelado,Ciência da Computação,"Tarde, Noite",5 anos e meio,5 - Excelente,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência",Projeto de Pesquisa,De 1 hora a 2 horas,Muito importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Não sei ou não desejo opinar,Muito importante,Importante,Muito importante,Pouco importante,Importante,Pouco importante,Pouco importante,PIBIC,Eventos apresentando oportunidades de trabalho e pesquisa.,Pernambuco,RECIFE
09/09/2022 22:17:04,Concordo,Sim,Masculino,36,Branco(a),Professor(a) de Ensino Superior,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,4 - Bom,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",Menos de 30 minutos,Muito importante,Importante,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Muito importante,Importante,Importante,Importante,Pouco importante,Importante,Importante,Sem importância,Pouco importante,,,Paraíba,
09/09/2022 22:17:41,Concordo,Sim,Masculino,33,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",De 30 minutos a 1h,Muito importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Pouco importante,Muito importante,Muito importante,Importante,,"Aproximação e contribuição em projetos open source, pequenas iterações que fariam muita diferença na carreira profissional ",Paraíba,Campina Grande
09/09/2022 22:20:31,Concordo,Sim,Feminino,42,Pardo(a),"Gestão de Projetos/Product Owner/Líder Técnico, Qualidade de Software/Testes",Universidade/Faculdade Pública Estadual,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos,5 - Excelente,5 - Excelente,5 - Excelente,4 - Bom,5 - Excelente,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação","Projeto de Pesquisa, Estágio",De 30 minutos a 1h,Muito importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,,,,
10/09/2022 04:30:29,Concordo,Sim,Masculino,31,Prefiro não declarar,"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico, Área de Segurança da Informação",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Estágio",Menos de 30 minutos,Importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Não sei ou não desejo opinar,Importante,Importante,Pouco importante,Pouco importante,Pouco importante,Muito importante,,Melhor capacitação dos professores para ensinar. As disciplinas mais desmotivador as foram aquelas cujos professores faltavam com habilidades pedagógicas e de apresentação.,Paraíba,Campina Grande
10/09/2022 13:49:36,Concordo,Sim,Masculino,39,Prefiro não declarar,"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",Mais de 7 anos,3 - Mediano(a),5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",Menos de 30 minutos,Pouco importante,Importante,Muito importante,Importante,Muito importante,Importante,Pouco importante,Muito importante,Pouco importante,Muito importante,Sem importância,Importante,Importante,Sem importância,Importante,,,Paraíba,Campina Grande
11/09/2022 09:50:08,Concordo,Sim,Masculino,39,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico, Professor(a) de Ensino Superior, Professor(a) da Educação Básica, Cientista/Engenheiro de Dados, DevOps/Suporte Técnico/Técnico de Infraestrutura de TI/Gerente de Redes",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Estágio, Monitoria",Menos de 30 minutos,Não sei ou não desejo opinar,Importante,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Muito importante,Importante,Não sei ou não desejo opinar,Não sei ou não desejo opinar,Muito importante,Não sei ou não desejo opinar,Importante,Não sei ou não desejo opinar,Pouco importante,Muito importante,,,Paraíba,Campina Grande
11/09/2022 11:05:12,Concordo,Sim,Masculino,40,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico, Analista de TI",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos,4 - Bom,5 - Excelente,5 - Excelente,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria, PET",De 30 minutos a 1h,Muito importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Pouco importante,Importante,Sem importância,Importante,,,Paraíba,Campina Grande
12/09/2022 08:50:31,Concordo,Sim,Masculino,34,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico, Professor(a) de Ensino Superior",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",5 anos,5 - Excelente,4 - Bom,4 - Bom,4 - Bom,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Extensão, Monitoria, Residência Pedagógica/PIBID/Prolicen",De 30 minutos a 1h,Muito importante,Sem importância,Importante,Muito importante,Muito importante,Pouco importante,Muito importante,Muito importante,Pouco importante,Importante,Pouco importante,Importante,Importante,Pouco importante,Pouco importante,,,Paraíba,Rio Tinto
12/09/2022 11:37:51,Concordo,Sim,Masculino,28,Branco(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, Gestão de Projetos/Product Owner/Líder Técnico",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,4 - Bom,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Projeto de Extensão, Monitoria",Menos de 30 minutos,Muito importante,Muito importante,Importante,Importante,Importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Pouco importante,Pouco importante,Importante,Importante,Muito importante,O apoio da família,Mais projetos de pesquisa/desenvolvimento,Paraíba,Campina Grande
12/09/2022 18:22:21,Concordo,Sim,Masculino,43,Pardo(a),Professor(a) de Ensino Superior,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",6 anos,3 - Mediano(a),5 - Excelente,4 - Bom,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Estágio",De 30 minutos a 1h,Importante,Pouco importante,Importante,Muito importante,Muito importante,Pouco importante,Importante,Importante,Importante,Muito importante,Muito importante,Pouco importante,Importante,Sem importância,Pouco importante,,,Paraíba,Campina Grande
13/09/2022 12:07:39,Concordo,Sim,Masculino,30,Branco(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",6 anos,3 - Mediano(a),4 - Bom,3 - Mediano(a),4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência",Projeto de Pesquisa,De 30 minutos a 1h,Importante,Importante,Importante,Importante,Muito importante,Importante,Importante,Muito importante,Muito importante,Pouco importante,Importante,Pouco importante,Muito importante,Pouco importante,Muito importante,,,Paraíba,Campina Grande
14/09/2022 22:27:58,Concordo,Sim,Masculino,26,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade/Faculdade Privada,Tecnológo,Sistemas para Internet,Noite,2 anos e meio,5 - Excelente,4 - Bom,4 - Bom,4 - Bom,5 - Excelente,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação",Estágio,Menos de 30 minutos,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Pouco importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Ofertas de trabalho na área,,Paraíba,João Pessoa
14/09/2022 22:50:34,Concordo,Sim,Masculino,24,Pardo(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Sistemas de Informação,"Manhã, Tarde",4 anos e meio,3 - Mediano(a),4 - Bom,4 - Bom,5 - Excelente,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência",Projeto de Extensão,Menos de 30 minutos,Pouco importante,Pouco importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Importante,Importante,Sem importância,Muito importante,Importante,Importante,,"Mais parcerias com empresas privadas e públicas, em que fosse ofertado mais oportunidades de estágio para alunos ainda em formação.",Paraíba,Rio Tinto
15/09/2022 11:21:18,Concordo,Sim,Masculino,32,Branco(a),"Gestão de Projetos/Product Owner/Líder Técnico, Professor(a) da Educação Básica, Empresário(a), Cientista/Engenheiro de Dados, Aluno(a) de pós-graduação (mestrado/doutorado/especialização), Administração Pública",Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",Mais de 7 anos,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Remuneração por atividade profissional (salário ou remuneração de estágio ou contrato)","Projeto de Pesquisa, Projeto de Extensão, Estágio, Monitoria, Residência Pedagógica/PIBID/Prolicen",Menos de 30 minutos,Muito importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,A possibilidade de mudar a sociedade através da formação em tecnologia.,Hackthon,Paraíba,Rio Tinto
15/09/2022 11:44:29,Concordo,Sim,Masculino,26,Pardo(a),Qualidade de Software/Testes,Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",5 anos e meio,3 - Mediano(a),5 - Excelente,4 - Bom,4 - Bom,4 - Bom,"Não recebi nenhuma bolsa, remuneração ou auxílio durante a graduação",Não participei de nenhuma atividade extracurricular,De 1 hora a 2 horas,Muito importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,Pouco importante,Importante,Importante,Importante,Muito importante,Importante,Muito importante,Mostrar para mim mesmo que eu atingir os objetivos que desejo,,Paraíba,Rio Tinto
18/09/2022 12:27:02,Não concordo,Sim,Masculino,31,Branco(a),Aluno(a) de pós-graduação (mestrado/doutorado/especialização),Universidade Pública Federal,Licenciatura,Ciência da Computação,"Manhã, Tarde",5 anos,4 - Bom,5 - Excelente,5 - Excelente,3 - Mediano(a),5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Extensão, Monitoria",De 30 minutos a 1h,Importante,Muito importante,Pouco importante,Pouco importante,Muito importante,Pouco importante,Muito importante,Muito importante,Importante,Muito importante,Importante,Pouco importante,Muito importante,Sem importância,Importante,Sim. Ter uma chance para conseguir um trabalho/emprego promissor.,"Gosto bastante desta seguinte frase ""fazer é fundamental"". Um ação que poderiam ser realizada em cursos superiores de computação e ter oportunidade no ambiente acadêmico (empresa, etc.) para o estudante ganhar experiência fazendo alguma coisa para resolver problemas reais.",Paraíba,Rio Tinto
04/10/2022 13:52:07,Concordo,Sim,Masculino,27,Pardo(a),"Desenvolvimento de Software/Programação/Análise de Sistemas, DevOps/Suporte Técnico/Técnico de Infraestrutura de TI/Gerente de Redes",Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",4 anos e meio,4 - Bom,5 - Excelente,4 - Bom,4 - Bom,4 - Bom,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência, Monitoria, PET","Projeto de Pesquisa, Monitoria, PET",Menos de 30 minutos,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,,,Paraíba,Campina Grande
18/10/2022 16:39:19,Concordo,Sim,Masculino,38,Branco(a),Desenvolvimento de Software/Programação/Análise de Sistemas,Universidade Pública Federal,Bacharelado,Ciência da Computação,"Manhã, Tarde",5 anos,3 - Mediano(a),5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,"Bolsa de Projeto de Ensino, Pesquisa, Extensão ou Auxílio Permanência","Projeto de Pesquisa, Monitoria",Menos de 30 minutos,Importante,Pouco importante,Pouco importante,Muito importante,Muito importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Pouco importante,Muito importante,Pouco importante,Muito importante,,,Paraíba,Campina Grande
